[4194,3911,4913,3457,1752,9149,1657,1417,11480,6775,939,5439,19930,3432,2660,7187]
[7066,274,4967,2139,3337,861,3039,1714,7765,2141,1805,1093,3845,2192,2442,5727]
[9756,2142,3381,7618,3463,4752,5735,4986,2753,1819,3058,2578,4575,4281,7726,12310]
[2114,3113,2030,3808,4204,4748,4788,3789,3455,6220,6372,2661,2854,3714,5988,1909]
[7118,3745,3673,8182,3801,2672,4581,2464,4766,3882,6113,4600,3125,4526,3925,2361]
[10114,5327,9283,2653,6981,2995,1722,7694,6941,5679,6429,3471,2774,1129,3948,1396]
[6214,2678,3937,2420,4435,3885,5912,1473,2622,7538,3573,4724,3924,4323,5653,3574]
[4908,4482,2056,7217,4833,5163,2675,3613,2699,4416,1740,3172,4997,2607,4869,1543]
[4174,3469,5238,2198,6362,2743,3133,3027,4029,1296,7694,8624,2545,3506,8175,2045]
[7377,5841,2760,4489,4826,1831,11934,4803,3720,2994,4455,2757,2424,3661,4602,1922]
[6758,2836,2669,2489,3476,3556,3703,1821,6496,2235,2250,6858,2115,5797,4845,2916]
[2681,3709,4250,1825,2493,1718,2471,3347,3989,1030,7111,1971,3147,6934,3222,7980]
[3685,2405,2443,1481,3127,6832,6678,5149,4961,3802,4556,2451,6454,3063,4303,8591]
[3748,6795,4325,7628,6261,5206,4015,8545,5554,3168,7904,3123,8684,4470,4989,3684]
[4786,3678,2322,5508,2288,2500,7050,6538,6271,10677,3676,4254,2162,3404,3532,5324]
[2359,2583,6174,6388,7474,2816,5340,7276,8319,3438,1030,2338,7051,3758,4439,2775]
[6456,6323,3860,5053,1445,4417,6415,5022,4599,3829,2730,4727,8486,8597,4440,4435]
[3344,4384,5567,7817,3544,6311,4538,8096,8308,4504,2831,2256,3240,7497,4192,2576]
[3519,7419,1268,5542,9891,3019,2503,2174,3032,4838,6773,4944,1034,1747,6262,2229]
[8449,1796,3747,2770,4086,3630,3985,4903,5098,3058,6964,7980,5972,1593,2606,4697]
[6544,4901,7089,3059,3321,4255,4177,4063,3274,1610,4912,6990,6674,1422,1904,10203]
[10241,5568,5157,3397,6780,9812,8386,2031,8381,3250,5745,2454,6579,3017,3391,2801]
[3147,3135,5462,3406,3653,5146,3670,1505,8128,7278,5707,1976,2689,2144,4054,7982]
[1401,8761,3804,5258,4012,1162,4122,5004,6255,4045,1767,6595,3592,2895,2592,2599]
[2066,4919,3438,1549,1748,2526,3384,4999,4224,4119,6629,5160,3063,2610,3282,4305]
[4026,2983,6194,6886,3798,4817,5265,1950,8502,3098,6942,2478,4900,4590,5408,5253]
[4056,5529,3809,4713,1937,5921,2974,5591,8864,1328,7884,5374,4716,3491,3726,1100]
[4495,2799,2083,3511,5460,2243,4823,3969,3041,5838,3099,6210,5006,2589,3992,4037]
[4561,7172,3073,2472,4503,1518,3440,968,2345,3043,3738,2754,4381,3762,6253,5069]
[4052,2656,5045,1566,2185,5473,3959,6428,6281,725,4704,7226,5193,6909,2595,3943]
[3718,2108,11042,3411,4469,2290,1533,3688,4891,1065,3391,2465,5191,2473,3628,3974]
[6755,3166,4616,5177,5646,3961,2086,7187,3433,2880,2148,2479,5361,5293,6662,2789]
[5894,3617,5562,4292,3117,5482,4414,5821,6781,5322,6650,3648,8969,5261,5252,3783]
[4516,2107,6936,5390,7303,3987,3464,1993,10130,3233,2159,5111,6064,2733,4813,2404]
[1296,5265,7222,4590,1691,2578,3925,5567,3592,5149,5581,10558,4014,5408,4408,2092]
[2558,2982,6638,6455,7658,3635,1476,4226,8248,3348,4262,5945,2505,6018,2680,1685]
[5623,876,6724,4352,4447,4856,4454,5811,1983,1663,3765,3852,6410,5395,1764,5403]
[4803,1738,9431,3964,9327,1998,4333,5536,3287,4654,4185,3989,1782,3671,5650,2532]
[6237,2426,5717,3377,3666,2498,5653,4207,3118,2126,2239,3876,2117,4895,1347,4443]
[1894,5490,6244,4855,9619,4609,2531,1805,664,2887,4013,6627,2613,3664,2628,4164]
[6275,3969,8382,5344,5288,2118,5744,2318,4289,880,5236,2045,4364,5020,3827,6728]
[4704,5350,2910,4381,7865,4019,2698,2863,5123,6624,2220,3513,5415,8862,6214,2576]
[2887,1663,7389,10096,5953,5881,3019,754,2345,4853,2005,3607,2734,2310,8854,2305]
[2698,6764,8650,2067,2771,5862,6287,2629,3743,2466,7637,3438,4934,4363,3251,2268]
[6483,3044,4149,4976,1163,3448,4950,6325,2075,5611,2775,1055,2085,3277,2841,4367]
[5407,2185,2148,7473,11091,3975,2371,9375,5404,3454,2885,2837,944,6675,2054,4176]
[3000,3191,1638,8911,4906,3571,3709,1919,1822,5714,4862,2363,4038,4025,7385,5459]
[2021,5310,5392,2910,1995,7378,4326,3984,6148,3398,2669,9334,4312,8020,2953,2329]
[3275,10648,4658,5777,1341,6669,6459,4185,3281,2495,6993,5577,4639,4962,1325,5794]
[3219,6183,4522,2029,3952,4573,1760,4485,3540,3017,3527,2959,1136,1558,1652,2479]
[6616,2900,2803,3468,3749,1123,2980,4167,6068,3427,1743,2467,4137,745,1168,3019]
