[13,1,3,2,17,21,1,14,27,8,11,0,3,7,1,29,1,64,12,8,25,7,16,4,27,0,6,24,11,14,13,11,71,6,26,25,3,0,25,24,34,3,8,27,34,1,20,15,14,1,9,2,1,1,50,9,5,3,15,17,12,6,58,58]
[164,31,47,148,48,251,9,33,21,35,19,191,92,198,28,28,319,143,296,127,34,116,90,347,86,12,132,39,84,54,419,102,162,50,6,10,31,59,75,58,24,26,30,47,174,58,41,95,8,81,70,142,302,253,0,58,72,119,49,22,87,349,61,202]
[434,7,261,292,92,54,2,96,358,14,44,8,530,324,104,176,34,283,4,134,16,140,113,239,98,167,349,197,119,29,421,562,148,52,38,315,98,267,257,73,8,48,77,41,233,446,220,19,230,161,32,31,14,74,13,224,5,130,67,85,23,60,15,323]
[149,18,36,46,20,90,94,73,10,2,11,334,2,8,188,86,34,556,33,85,227,0,177,337,238,29,61,32,211,52,351,105,99,20,27,107,77,355,99,174,37,34,39,41,87,4,35,150,458,15,32,113,123,105,259,269,35,24,117,174,65,56,240,13]
[166,77,546,191,117,47,246,239,15,79,11,51,57,128,30,60,91,159,52,78,47,69,1,63,50,131,92,29,101,128,49,345,272,91,36,28,178,308,31,340,66,105,50,45,22,19,137,284,299,107,5,66,3,80,8,47,182,163,334,72,144,155,254,429]
[36,66,13,1,14,2,11,4,5,8,53,5,24,29,70,4,29,12,5,32,15,26,72,10,13,0,4,25,7,63,1,26,13,7,53,29,4,5,28,14,17,71,13,75,1,32,23,20,6,7,14,12,22,20,33,43,7,41,17,20,2,14,13,3]
[0,74,19,1,29,11,8,41,39,2,20,14,8,53,17,4,0,19,60,21,0,0,37,7,31,29,3,14,0,7,22,2,27,97,23,47,12,3,47,26,11,22,9,5,52,8,27,5,3,40,19,20,12,29,26,18,36,4,8,6,11,11,3,9]
[20,27,25,4,3,13,13,4,28,19,3,28,40,19,21,81,4,44,24,51,16,0,19,43,6,1,41,6,11,33,28,67,68,47,65,17,72,19,1,0,21,2,97,40,49,48,9,14,14,16,5,7,60,5,12,0,19,20,10,12,11,53,48,45]
[0,33,7,16,31,26,24,8,53,20,97,21,24,10,9,39,3,8,0,11,41,28,56,1,6,5,12,0,39,103,6,34,26,6,79,70,13,87,29,7,82,39,27,70,9,16,20,29,35,20,35,48,4,11,33,5,18,17,2,47,10,66,1,1]
[23,4,2,16,6,5,5,2,39,102,19,33,10,3,16,136,12,24,9,10,14,25,32,30,31,0,67,13,24,11,41,31,16,34,8,14,15,5,15,4,4,67,2,14,21,22,58,59,16,1,15,7,28,24,14,15,28,30,48,8,15,15,12,9]
[9,4,6,9,8,11,13,28,28,15,26,72,28,60,16,19,20,8,76,1,20,9,18,12,113,32,38,49,0,48,78,97,1,12,9,29,30,67,18,62,0,2,5,37,24,5,9,0,12,80,2,22,70,6,12,12,42,7,46,21,30,18,3,13]
[72,10,2,2,1,21,11,27,17,7,13,31,30,8,7,27,10,70,42,22,49,0,45,10,36,9,3,28,2,12,20,17,47,30,70,3,27,0,6,32,51,10,4,5,2,4,7,5,2,2,28,8,9,26,55,56,52,55,46,3,11,5,77,48]
[32,3,13,0,0,6,2,37,38,63,31,101,62,25,4,6,32,48,21,20,3,28,15,1,21,9,2,31,10,0,39,17,33,9,7,31,13,3,12,21,41,6,2,2,40,21,60,2,76,12,12,10,15,0,14,30,43,1,21,16,8,31,8,1]
[23,21,1,29,1,0,25,42,9,10,48,2,1,12,9,16,6,72,25,3,40,3,5,0,23,6,46,12,13,81,2,6,7,3,41,0,1,24,160,1,27,25,45,45,49,2,33,0,9,22,98,5,6,3,2,107,9,5,29,19,3,1,3,30]
[12,73,18,52,16,7,5,3,84,6,10,22,6,4,23,12,31,6,20,15,28,17,5,37,0,12,27,42,14,8,28,3,20,15,11,10,13,2,10,98,34,57,7,40,78,3,20,2,5,8,9,6,27,5,84,21,4,23,7,21,11,62,30,27]
[0,9,18,54,10,15,1,4,0,28,26,36,48,11,1,6,31,15,3,35,12,12,2,35,37,8,37,34,82,0,5,0,17,4,5,17,21,6,0,3,9,3,101,69,59,22,14,35,5,15,30,107,26,55,28,7,12,19,21,14,14,5,37,25]
[24,46,13,44,48,16,49,46,76,55,6,32,10,8,8,128,23,10,10,11,41,60,29,6,13,2,21,5,2,5,9,8,41,24,18,6,31,35,15,36,3,14,7,14,0,90,7,0,2,42,9,1,15,41,7,23,9,0,15,32,81,46,6,10]
[32,19,26,7,32,3,74,31,9,5,2,29,16,3,40,9,45,7,20,25,27,11,5,2,1,27,4,30,40,3,27,1,8,23,17,56,25,43,18,11,50,23,7,19,33,51,6,7,6,3,39,1,21,14,18,9,13,16,6,8,19,6,34,2]
[12,24,25,6,13,23,18,56,9,61,30,57,46,64,5,4,32,31,7,3,16,9,8,3,22,73,48,8,50,49,28,80,5,23,9,21,26,17,5,27,48,13,8,16,29,6,26,2,7,18,8,0,42,38,76,76,12,13,15,5,23,4,12,9]
[28,15,8,22,8,44,7,7,5,5,44,48,38,15,17,11,8,8,19,19,5,24,21,2,10,5,6,49,86,86,57,12,18,15,36,16,42,25,18,42,4,9,0,21,9,2,7,5,6,0,3,78,56,8,44,2,24,0,17,37,24,62,6,3]
[203,99,84,95,25,203,14,7,138,23,121,40,6,202,14,93,104,201,82,522,416,194,8,206,178,32,117,118,81,10,126,130,72,126,156,143,104,43,74,41,248,87,315,42,127,9,4,276,52,1423,73,244,74,4,22,73,108,513,34,159,107,17,694,128]
[2,11,37,34,14,67,10,2,5,40,33,9,10,6,4,20,6,32,0,37,11,10,10,43,5,38,19,15,64,6,1,38,17,23,10,1,38,7,41,61,24,30,56,46,1,6,39,95,7,74,21,38,10,31,0,3,4,75,36,40,15,3,33,22]
