[436,212,463,378,189,69,669,268,435,371,110,315,696,440,219,493]
[1718,2172,1032,966,5920,2296,690,736,2265,2688,1138,2591,1748,3033,1977,2429]
[284,581,430,810,625,590,267,444,820,506,698,921,211,551,586,624]
[54,61,55,21,32,70,35,112,92,92,74,104,47,73,25,121]
[20,37,47,64,35,14,100,81,37,12,36,57,28,31,13,50]
[233,337,169,667,514,590,308,801,695,116,447,530,187,148,400,136]
[1175,124,835,343,430,836,1132,965,470,517,536,317,506,616,228,819]
[773,679,802,351,685,185,443,807,383,457,670,1084,431,434,887,916]
[418,581,551,406,551,402,820,685,607,232,392,667,647,826,343,657]
[431,158,1256,559,366,549,356,758,813,273,392,460,448,1062,426,641]
[767,463,472,967,1142,514,562,637,727,390,381,329,209,948,777,862]
[446,330,166,786,690,203,704,780,387,289,619,287,476,631,482,261]
